,Acadia,Arches,Badlands,Big Bend,Biscayne,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Dry Tortugas,Everglades,Gateway Arch,Glacier,Grand Canyon,Grand Teton,Great Basin,Great Sand Dunes,Great Smoky Mountains,Guadalupe Mountains,Hot Springs,Indiana Dunes,Isle Royale,Joshua Tree,Kings Canyon,Lassen Volcanic,Mammoth Cave,Mesa Verde,Mount Rainier,New River Gorge,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Voyageurs,White Sands,Wind Cave,Yellowstone,Yosemite,Zion
Gateway Arch,1202.5,1046.26,731.46,988.48,1071.29,947.44,1197.87,1069.59,1136.44,917.87,1654.46,622.63,1689.36,492.67,1468.5,1055.74,1064.79,0.0,1375.04,1218.47,1127.19,1297.74,835.4,419.98,948.42,325.54,266.63,658.91,1469.59,1552.69,1668.63,244.83,1003.35,1689.47,496.12,1687.31,1782.04,1110.72,1698.78,1792.95,830.28,1224.08,1565.79,640.66,884.26,694.52,983.14,771.73,1125.9,1588.79,1248.35
Glacier,2169.15,732.68,650.89,1463.99,2424.46,772.51,780.6,759.53,745.33,1250.76,1058.1,1992.51,561.98,1658.17,878.65,2370.25,2408.21,1375.04,0.0,884.41,382.17,678.14,874.75,1788.47,1258.25,1456.68,1395.57,1165.36,1040.46,859.6,682.1,1612.15,848.75,384.71,1796.05,328.95,440.68,971.84,924.34,711.45,712.45,1156.41,886.1,1900.85,505.87,964.09,1177.69,619.72,334.32,805.9,795.29
Grand Canyon,2363.31,229.44,736.46,698.51,2024.53,298.66,104.15,191.48,156.99,516.21,436.16,1779.83,712.27,1683.56,261.97,1907.9,1989.03,1218.47,884.41,0.0,533.92,233.71,384.73,1599.9,505.35,1082.62,1401.38,1460.68,264.65,360.72,593.57,1444.9,217.06,894.81,1714.05,986.33,1006.38,149.43,504.27,735.14,465.57,278.9,366.09,1858.97,876.26,1301.61,409.02,692.56,595.53,425.12,99.32
Grand Teton,2097.36,354.33,415.28,1082.13,2127.46,390.57,431.17,384.3,382.09,868.97,814.83,1748.38,571.57,1496.32,607.15,2054.21,2105.19,1127.19,382.17,533.92,0.0,374.84,498.26,1546.95,876.13,1142.59,1213.47,1109.84,738.52,629.02,593.53,1371.9,468.0,574.98,1594.98,604.53,678.19,599.9,741.53,693.76,353.27,791.95,653.64,1719.11,421.82,918.96,795.78,367.0,61.89,610.92,459.17
Great Basin,2381.82,256.02,695.28,921.07,2185.89,356.35,150.81,242.59,177.77,726.41,445.57,1891.92,490.74,1731.67,234.12,2081.94,2154.34,1297.74,678.14,233.71,374.84,0.0,484.92,1701.51,720.25,1215.72,1444.75,1429.05,368.79,276.66,397.79,1536.24,340.12,661.14,1791.11,753.71,772.83,367.53,413.28,537.66,474.78,510.79,297.47,1929.21,777.48,1251.07,624.64,645.5,434.57,293.12,134.39
Great Sand Dunes,1983.41,230.45,444.34,598.76,1705.56,133.58,365.84,243.49,310.7,388.05,820.68,1411.85,944.78,1299.19,633.64,1609.34,1675.95,835.4,874.75,384.73,498.26,484.92,0.0,1225.69,402.15,730.83,1018.08,1114.93,643.44,720.99,879.39,1065.89,168.16,1040.03,1331.46,1091.87,1150.37,300.42,867.66,1016.08,184.22,471.89,732.54,1475.33,646.36,977.53,343.28,416.81,540.54,765.12,415.15
Great Smoky Mountains,1006.36,1446.7,1150.02,1231.46,720.69,1346.53,1591.52,1466.6,1534.06,1223.02,2031.57,204.06,2107.13,398.22,1857.16,762.18,730.23,419.98,1788.47,1599.9,1546.95,1701.51,1225.69,0.0,1252.26,545.16,453.82,894.91,1838.35,1946.6,2080.5,176.63,1390.58,2109.0,213.48,2104.36,2200.62,1478.35,2093.29,2207.48,1242.36,1561.77,1957.62,347.01,1290.18,1005.18,1308.47,1191.19,1545.83,1989.04,1640.7
Guadalupe Mountains,2150.73,536.21,826.03,207.72,1560.75,485.87,569.44,519.09,560.87,30.55,856.65,1403.9,1210.5,1441.07,746.52,1428.73,1520.28,948.42,1258.25,505.35,876.13,720.25,402.15,1252.26,0.0,707.11,1190.76,1406.47,654.01,850.18,1098.82,1127.9,417.14,1364.19,1409.96,1437.17,1476.96,357.0,982.95,1240.47,586.03,331.01,849.0,1561.55,1040.99,1304.4,96.4,807.04,926.02,924.13,595.28
Hot Springs,1484.06,960.89,813.74,700.1,986.45,861.74,1089.77,973.65,1040.25,677.89,1505.25,704.53,1663.78,780.33,1344.06,914.72,962.73,325.54,1456.68,1082.62,1142.59,1215.72,730.83,545.16,707.11,0.0,590.94,966.19,1307.56,1439.2,1609.45,431.23,884.97,1717.33,711.15,1740.5,1820.46,951.08,1585.04,1744.64,798.55,1019.57,1447.26,862.63,1016.37,965.52,765.05,838.53,1159.05,1491.18,1135.99
Indiana Dunes,970.36,1205.84,798.43,1247.37,1172.84,1112.49,1364.93,1234.49,1298.58,1160.32,1835.14,642.16,1785.05,287.08,1637.64,1197.57,1179.06,266.63,1395.57,1401.38,1213.47,1444.75,1018.08,453.82,1190.76,590.94,0.0,451.17,1661.49,1712.86,1789.24,312.77,1184.43,1743.92,402.26,1721.18,1825.5,1310.36,1855.98,1902.87,970.19,1444.18,1728.9,508.68,889.71,551.74,1215.01,846.51,1198.59,1737.72,1416.25
